gcc -fopenmp -c src/main.c
gcc -fopenmp -c src/parallel_tasks.c
gcc -fopenmp -c src/utilities.c
gcc -fopenmp -lm -g -o schooling main.o parallel_tasks.o utilities.o
rm -f *.o
Fish #	x	y	w
206	23.84	18.69	71.90
207	-53.73	65.32	71.54
208	-86.95	-80.83	74.35
209	85.33	-65.90	71.00
210	-3.18	-55.66	70.42
211	64.89	-41.26	73.29
212	-28.48	75.85	72.33
213	-32.22	63.68	71.44
214	31.88	-93.17	78.29
215	-48.63	55.32	69.76
216	25.51	67.42	69.82
217	-38.10	-56.37	70.30
218	-60.21	21.68	74.59
219	-78.18	33.82	76.92
220	56.13	43.95	76.82
221	-58.96	-19.64	74.14
222	-35.56	-14.49	72.92
223	-53.52	-22.31	73.63
224	6.48	-68.79	69.46
225	10.38	-97.10	70.91
226	-24.25	-23.33	72.19
227	-38.16	47.07	71.14
228	-48.67	28.62	69.60
229	9.75	85.01	74.81
230	36.24	61.92	71.53
231	39.93	-38.45	69.43
232	29.14	-98.37	72.34
233	6.58	68.53	73.49
234	24.31	28.80	68.95
235	3.14	-19.76	72.58
236	-27.66	43.98	71.18
237	60.60	36.18	71.34
238	-70.31	-93.31	73.31
239	-86.93	36.97	75.98
240	-62.90	23.25	70.87
241	39.27	14.25	71.64
242	-99.88	-99.49	72.27
243	-39.68	-48.35	75.38
244	31.13	72.27	73.15
245	-63.74	-31.63	70.67
246	34.39	75.39	74.02
247	30.92	-37.87	68.10
248	77.02	-62.70	69.76
249	-68.14	0.73	72.96
250	66.10	35.20	67.15
251	81.37	-62.36	71.89
252	-21.62	40.97	69.80
253	73.43	8.87	73.38
254	48.06	86.89	72.83
255	-52.76	85.16	74.33
256	9.95	86.51	71.62
257	-0.80	11.07	74.05
258	88.01	58.52	72.01
259	62.72	18.14	72.10
260	31.99	99.18	72.12
261	86.11	-35.42	72.90
262	75.16	18.83	76.29
263	27.31	50.98	73.54
264	54.93	58.97	71.64
265	-47.29	21.23	70.43
266	-5.43	-66.52	72.43
267	58.67	73.15	74.22
268	73.85	33.30	69.16
269	-16.78	21.91	71.04
270	18.19	28.86	71.39
271	7.26	-71.06	72.07
272	16.36	-92.93	73.00
273	39.61	3.98	72.94
274	65.59	3.73	75.23
275	-77.68	-2.82	75.21
276	2.91	-90.18	74.19
277	63.16	-22.73	71.85
278	27.45	-9.73	72.86
279	-71.75	-17.22	70.46
280	-50.36	-18.04	72.64
281	-95.79	43.61	71.63
282	14.44	62.49	72.89
283	16.76	-10.72	72.41
284	-6.42	98.58	72.39
285	-88.21	-85.82	69.99
286	28.03	19.05	69.20
287	-55.88	-56.40	70.30
288	26.12	85.13	74.97
289	47.77	-7.29	73.45
290	-12.54	69.69	71.31
291	90.29	88.96	73.67
292	79.31	53.65	69.08
293	-32.77	6.17	73.56
294	-55.87	-3.91	72.40
295	90.55	-6.23	70.28
296	77.04	92.76	69.49
297	-63.62	-9.32	73.45
298	55.45	53.34	71.91
299	81.76	-48.37	71.20
300	51.92	92.55	73.50
301	-33.79	-19.25	70.01
302	12.01	10.93	69.43
303	24.94	-61.87	71.92
304	-4.95	-28.28	71.47
305	30.44	83.31	71.49
306	-57.39	20.93	73.99
307	72.67	-79.08	71.65
308	-24.82	-59.50	74.53
309	29.29	19.11	72.33
310	36.59	19.64	71.17
311	-88.32	12.43	71.64
312	12.40	-52.74	72.68
313	-96.09	-31.95	74.19
314	-97.60	84.67	69.44
315	19.08	54.51	71.97
316	76.63	86.49	71.92
317	-66.74	-11.16	73.76
318	-2.79	58.81	73.78
319	27.97	93.06	73.21
320	-69.87	-40.99	68.20
321	76.97	-28.07	71.49
322	79.73	48.44	70.45
323	-4.75	-45.08	74.48
324	90.14	-76.06	68.33
325	73.23	24.93	71.47
326	43.58	84.31	69.18
327	-64.24	-44.02	71.60
328	-67.03	-59.32	75.53
329	25.82	-64.63	77.52
330	-73.05	-54.70	76.54
331	90.28	-97.62	75.18
332	-68.01	-75.86	72.46
333	-7.18	30.00	74.20
334	83.55	-79.81	70.54
335	22.87	-85.72	72.98
336	-21.21	-0.76	69.75
337	-12.59	-42.27	76.53
338	-51.32	82.46	70.52
339	12.65	-61.38	71.54
340	-93.40	-13.33	71.90
341	61.76	50.98	72.58
342	-29.02	98.32	70.12
343	-94.45	4.35	76.61
344	-59.80	32.97	70.31
345	40.51	-35.25	67.86
346	77.88	29.59	70.40
347	-30.87	-90.93	71.13
348	52.94	60.15	68.41
349	40.87	36.89	75.01
350	81.14	-36.66	72.33
351	50.37	-40.87	70.29
352	61.18	-62.02	70.47
353	18.06	-89.94	67.67
354	-79.36	-68.50	70.85
355	-49.12	-73.16	72.93
356	18.17	-88.16	71.77
357	78.02	88.75	67.76
358	-88.24	84.17	71.92
359	-5.90	-49.45	73.65
360	17.54	-66.79	72.45
361	16.90	-4.38	75.06
362	63.60	84.63	71.83
363	5.08	16.34	71.60
364	44.98	-54.05	68.77
365	-47.37	26.31	73.53
366	7.49	-97.80	72.21
367	86.84	-30.54	69.28
368	-57.82	4.50	73.42
369	-20.28	-39.38	72.98
370	35.00	30.00	72.00
371	-11.34	-46.82	75.09
372	40.83	-33.53	70.49
373	-57.27	51.99	68.36
374	-48.36	37.23	71.38
375	-96.26	69.98	74.15
376	71.04	20.44	71.25
377	-35.60	33.44	72.51
378	5.47	69.48	73.70
379	-49.62	-49.15	73.00
380	-86.56	2.81	74.31
381	77.76	21.72	72.90
382	4.81	64.00	73.15
383	91.59	47.58	73.22
384	-31.10	-28.09	72.04
385	-91.20	-95.89	70.86
386	-98.89	-2.34	73.29
387	-42.12	41.34	71.51
388	64.93	1.61	76.64
389	-6.47	-84.63	76.55
390	-60.96	-2.93	72.62
391	84.35	-91.53	70.66
392	-82.69	-51.05	73.39
393	41.71	22.59	76.27
394	-80.36	92.09	67.82
395	73.24	-66.53	67.81
396	-4.10	50.20	71.61
397	55.80	-99.30	70.36
398	15.40	46.99	74.45
399	47.89	84.91	72.83
400	-81.10	56.89	72.39
401	89.61	-79.60	68.77
402	-44.86	-52.51	71.76
403	61.14	-80.73	72.32
404	48.70	-44.53	69.52
405	-65.56	87.74	68.62
406	52.14	-80.61	73.32
407	96.21	69.86	71.87
408	-31.26	38.32	70.89
409	-7.96	-13.42	70.55
410	30.81	-35.12	72.81
411	19.85	-72.50	72.29
412	-83.32	-23.55	70.32
413	-72.99	32.08	69.40
414	-76.96	76.49	70.64
415	16.59	-57.87	71.59
416	33.98	6.00	73.35
417	-36.46	87.92	74.14
418	52.29	-75.12	71.91
419	-92.81	3.20	73.29
420	-20.65	-57.17	71.61
421	-9.86	-68.31	73.78
422	-39.18	-14.45	70.69
423	-99.45	29.16	71.96
424	-74.93	-7.61	72.57
425	-83.06	54.47	71.53
426	57.87	36.79	68.41
427	82.38	74.15	74.91
428	-88.16	-90.82	69.51
429	5.83	-64.72	74.44
430	84.47	-78.58	72.24
431	-22.78	19.45	71.89
432	28.22	40.75	71.02
433	7.57	-19.29	71.09
434	63.63	15.96	72.48
435	84.51	-55.42	73.77
436	57.59	-24.16	71.98
437	-23.53	-79.99	71.34
438	61.59	-22.98	75.68
439	48.97	86.86	71.69
440	69.61	65.91	71.70
441	42.93	27.68	71.10
442	2.70	24.90	73.06
443	1.43	16.55	72.29
444	34.69	-93.94	72.06
445	50.43	19.56	73.85
446	-72.92	-71.55	68.50
447	-61.39	56.10	69.47
448	69.00	46.59	68.40
449	-63.99	33.03	72.16
450	-37.25	-78.28	71.03
451	77.80	-78.66	70.29
452	-4.44	-46.33	70.93
453	-60.05	-41.45	68.02
454	31.09	89.32	70.01
455	-55.59	1.69	71.84
456	55.63	85.94	72.12
457	-71.63	-41.26	71.81
458	11.24	29.20	69.85
459	74.29	-52.87	70.74
460	34.06	26.12	65.60
461	65.89	62.34	73.63
462	55.37	-94.50	71.60
463	18.83	23.97	72.66
464	53.09	54.84	74.28
465	-43.21	-85.16	72.10
466	75.36	-66.00	69.82
467	-64.62	-27.88	76.72
468	-11.73	-23.47	74.77
469	30.27	-79.44	74.32
470	-34.75	74.28	68.66
471	21.65	-79.52	72.81
472	62.02	50.22	72.02
473	-20.78	-26.54	69.91
474	-20.78	-45.90	69.60
475	19.99	-86.32	74.85
476	80.62	-13.12	71.49
477	76.22	35.39	69.54
478	-8.42	-5.15	70.61
479	-42.05	-54.14	70.58
480	-50.30	15.15	70.85
481	-39.90	-75.74	66.48
482	50.54	-4.12	75.12
483	-2.82	-62.19	70.90
484	70.81	-73.15	75.04
485	-41.23	-62.94	70.42
486	-99.67	79.62	70.76
487	-41.46	63.15	71.60
488	30.44	36.96	72.43
489	-64.99	-91.73	70.69
490	92.47	53.40	69.92
491	-77.65	73.29	67.09
492	-58.52	97.57	73.17
493	7.87	33.25	72.27
494	-6.98	66.03	72.29
495	78.12	43.32	75.12
496	-19.23	-60.78	71.96
497	66.57	-69.48	68.45
498	35.10	-35.25	72.69
499	-30.87	6.31	70.10
500	-8.00	28.50	72.51
501	43.17	-8.67	72.44
502	7.92	-99.09	73.30
503	-46.52	-62.23	71.71
504	38.47	-11.31	71.53
505	-52.57	29.74	73.82
506	-56.51	-29.62	71.52
507	2.63	-14.84	70.90
508	-31.65	-89.30	73.10
509	-80.18	62.97	71.64
510	75.13	97.13	69.20
511	3.88	-42.90	73.52
512	-63.85	-27.94	75.39
513	-11.58	71.45	74.26
514	35.41	57.75	70.11
515	-23.24	-72.60	73.66
516	-13.74	-78.47	72.23
517	19.93	93.58	75.67
518	-78.16	74.41	71.49
519	-67.25	60.12	70.28
520	-36.70	-22.02	68.63
521	-8.34	6.39	75.26
522	48.76	93.88	74.89
523	90.95	-81.69	71.28
524	-96.02	-90.04	65.61
525	78.67	79.51	71.66
526	-93.10	-17.44	72.48
527	-62.59	-55.35	70.35
528	55.81	23.24	69.45
529	-85.70	-7.78	74.74
530	-18.61	-7.14	72.31
531	20.62	67.25	71.58
532	12.79	-59.64	71.38
533	60.63	34.63	72.54
534	-85.03	92.37	69.68
535	-5.05	-22.13	71.97
536	-29.05	86.20	70.94
537	84.05	-79.89	74.75
538	80.69	75.80	69.80
539	-61.98	84.07	67.32
540	86.16	-82.91	71.11
541	64.18	94.26	71.52
542	1.85	-99.20	69.49
543	-62.09	-42.74	69.53
544	25.43	-46.59	71.90
545	50.08	-92.18	70.95
546	43.47	-29.49	72.11
547	75.27	-43.14	70.09
548	10.86	35.69	74.61
549	92.10	25.83	71.83
550	27.67	-14.16	73.58
551	-98.10	98.82	71.03
552	-26.75	85.75	69.51
553	-80.06	-46.87	69.48
554	60.95	-41.04	68.97
555	-62.80	46.11	73.41
556	-23.75	-98.02	73.10
557	39.17	77.69	72.88
558	-97.42	77.48	71.02
559	-64.64	27.01	72.82
560	-69.10	85.44	71.80
561	35.83	73.97	73.93
562	-44.86	8.90	73.26
563	-68.36	65.61	68.47
564	-54.81	-77.87	72.63
565	-9.96	71.26	72.99
566	8.38	-8.07	67.57
567	71.68	81.43	74.64
568	-22.32	91.21	72.06
569	-65.24	-62.18	70.15
570	-52.43	-26.64	71.69
571	83.53	25.22	70.44
572	-25.86	22.90	67.44
573	3.71	-24.08	72.85
574	-0.01	39.67	72.94
575	-96.87	28.88	73.36
576	24.10	39.16	73.56
577	3.46	78.25	72.41
578	-51.14	35.29	73.39
579	43.85	-6.75	72.75
580	58.03	-65.11	69.17
581	-34.70	-33.40	69.87
582	27.22	-63.42	72.31
583	-51.17	-95.10	72.46
584	-71.41	-17.41	72.44
585	-57.67	-23.64	71.08
586	54.55	-73.74	73.34
587	-98.22	-70.91	73.23
588	49.76	5.89	69.74
589	5.22	-49.85	71.53
590	-54.85	8.35	68.81
591	79.04	68.66	69.71
592	-53.89	-17.51	72.61
593	47.90	-5.23	70.76
594	-81.81	-7.64	71.91
595	88.22	76.41	69.74
596	28.85	-46.48	72.34
597	-57.18	-44.33	70.65
598	-10.30	-7.95	74.10
599	-40.02	16.89	71.36
600	74.24	2.50	75.80
601	94.65	31.39	69.08
602	28.76	97.23	73.25
603	57.68	-22.07	77.48
604	2.91	-35.50	74.03
605	26.88	49.07	70.09
606	72.85	6.72	71.80
607	15.72	-80.04	70.52
608	89.61	-35.37	71.55
609	14.73	-91.20	73.83
610	57.79	3.34	72.93
611	83.81	-14.56	70.43
612	56.06	-71.77	69.96
613	41.11	-52.64	73.44
614	19.28	-97.71	72.09
615	64.25	-5.08	74.72
616	4.39	57.51	73.69
617	-74.09	-67.04	69.21
618	55.53	84.79	69.18
619	11.48	-40.35	73.65
620	-49.71	-61.03	72.45
621	-92.88	-77.27	67.57
622	46.28	24.04	72.26
623	-57.71	35.10	72.82
624	87.67	57.62	71.94
625	43.70	45.85	69.24
626	-37.84	29.71	73.50
627	-69.91	-81.78	73.41
628	56.34	70.79	70.57
629	-35.02	-23.38	68.45
630	73.68	-72.36	69.92
631	71.54	-21.53	73.49
632	86.94	97.24	71.49
633	11.03	41.67	72.18
634	81.23	-77.09	73.86
635	-100.48	-69.28	71.21
636	-38.52	-93.76	73.26
637	-46.15	-92.44	71.76
638	29.48	-4.06	72.60
639	42.06	18.54	70.12
640	-46.85	-12.85	70.56
641	-36.61	14.51	73.12
642	-83.54	-6.72	73.44
643	32.53	72.81	70.70
644	-34.53	97.51	69.93
645	-50.77	-61.85	70.76
646	-75.05	-79.43	69.65
647	16.43	-88.11	71.03
648	-84.39	-70.75	70.43
649	53.76	98.84	69.04
650	-49.64	54.09	72.19
651	-71.44	12.44	74.11
652	60.72	-17.99	72.84
653	19.80	-10.00	74.94
654	77.34	-37.14	73.47
655	-92.86	-67.90	69.95
656	48.21	-29.27	70.88
657	46.41	65.27	72.85
658	63.41	-20.86	69.62
659	37.48	-70.32	72.26
660	-24.35	87.91	72.84
661	-32.16	0.80	75.93
662	-91.93	85.26	71.22
663	13.29	-75.12	70.06
664	-86.49	-32.15	75.06
665	-77.68	-35.32	70.94
666	-79.26	-49.92	72.47
667	76.71	81.46	71.60
668	32.29	-2.09	71.55
669	-29.74	12.63	73.21
670	60.17	-20.80	71.04
671	44.13	10.18	73.39
672	47.73	-11.06	73.07
673	-24.35	11.94	71.31
674	68.67	-85.67	68.56
675	40.82	-56.08	71.71
676	-97.16	-91.34	68.55
677	45.92	-91.29	70.83
678	94.72	-40.19	70.20
679	-66.21	-94.17	74.19
680	26.26	-43.48	68.65
681	-27.89	48.19	71.39
682	8.00	-50.18	72.81
683	30.05	-59.31	72.40
684	47.13	-99.49	68.13
685	52.93	7.50	73.28
686	-22.29	-4.14	72.81
687	-82.32	-72.96	70.35
688	85.79	-7.67	78.28
689	38.18	55.07	75.26
690	5.07	-20.40	73.47
691	98.79	6.91	74.02
692	-12.94	44.31	72.22
693	16.22	-17.82	69.50
694	-96.08	49.61	71.08
695	-10.99	30.58	69.89
696	-93.47	60.32	70.48
697	-23.03	13.14	67.63
698	-88.86	-92.57	70.45
699	55.23	59.07	71.74
700	-93.26	9.16	73.27
701	-33.63	-13.75	70.24
702	-95.98	-17.95	72.81
703	12.49	89.81	71.75
704	74.78	-49.53	71.42
705	42.28	-20.15	71.38
706	30.47	42.07	68.05
707	86.76	-82.07	72.22
708	-14.62	2.98	71.51
709	-0.09	-12.10	75.66
710	-47.21	88.72	71.67
711	-82.53	-40.28	70.21
712	49.04	-4.35	73.52
713	71.46	60.78	72.55
714	1.47	27.09	73.23
715	19.24	8.41	73.48
716	-66.35	85.81	74.54
717	94.86	-60.94	68.31
718	-31.74	7.54	73.90
719	-71.53	-57.35	70.93
720	58.61	72.75	69.01
721	23.10	-12.11	72.37
722	13.62	9.45	71.64
723	6.22	98.80	72.70
724	-88.57	-93.87	73.92
725	-13.70	-37.18	71.76
726	94.85	3.97	74.69
727	22.94	44.89	70.42
728	98.02	-5.20	72.38
729	4.87	-0.91	74.10
730	-78.52	-75.89	72.99
731	-91.10	-42.67	70.41
732	-89.68	-95.85	74.38
733	-4.61	-22.01	69.84
734	12.10	25.26	70.84
735	20.24	-30.09	73.87
736	-3.58	-56.87	71.16
737	58.40	-88.76	69.80
738	53.39	-34.78	75.60
739	-90.56	64.02	73.17
740	-28.85	-3.86	74.00
741	-71.56	-34.40	70.72
742	100.12	51.78	70.69
743	-89.31	98.33	66.86
744	-54.43	16.16	76.15
745	-1.77	-32.55	70.65
746	39.87	6.92	77.86
747	25.58	50.00	69.95
748	11.88	-79.23	69.84
749	-71.22	-76.82	71.27
750	44.64	49.62	71.09
751	-6.51	-56.94	70.38
752	92.36	-48.11	70.49
753	-46.50	45.14	70.20
754	17.71	-36.86	68.82
755	9.76	88.46	72.66
756	58.08	38.20	68.93
757	-43.94	59.60	71.55
758	-10.62	-34.85	74.68
759	57.33	36.75	69.52
760	81.11	-44.44	71.59
761	-96.60	22.99	72.24
762	62.88	28.18	72.23
763	-26.82	-23.24	72.59
764	48.16	1.17	71.06
765	0.74	-6.21	73.34
766	-49.61	94.83	71.07
767	36.05	-57.06	71.53
768	-53.88	89.15	75.19
769	87.69	64.63	69.69
770	-48.31	-1.75	72.75
771	54.28	-89.23	68.89
772	-64.15	-90.46	73.64
773	68.37	24.63	72.22
774	-23.90	26.70	68.23
775	-40.02	-43.39	71.28
776	82.06	-36.82	73.15
777	78.80	45.94	69.90
778	91.16	-48.82	73.02
779	-78.90	40.52	70.48
780	51.15	21.24	72.25
781	-68.29	-97.07	67.61
782	16.47	68.57	73.48
783	-56.32	62.79	73.05
784	56.31	-66.83	72.56
785	29.21	-90.00	69.83
786	31.42	-17.30	74.60
787	-80.63	67.47	73.75
788	-7.76	88.14	75.12
789	-7.70	66.94	74.02
790	15.25	52.47	72.35
791	-74.45	-3.09	72.53
792	-83.15	-96.85	72.78
793	-57.75	-92.19	70.06
794	-45.68	-35.65	70.94
795	46.93	-94.33	69.67
796	85.80	79.44	71.11
797	-91.80	2.86	70.56
798	49.01	-46.32	67.13
799	-34.55	6.72	72.62
800	-12.95	93.06	73.20
801	15.33	-81.74	67.43
802	-23.24	35.30	72.94
803	85.73	69.80	72.01
804	24.04	-23.17	75.83
805	35.93	-60.51	71.23
806	-70.50	61.48	74.51
